"Story","Title","Result","Date","Stability","Duration (s)"
"Test login","Login test failed","SUCCESS","2020-05-22T12:10:02.668125+03:00[Europe/Athens]","0.0","10.38"
"Test login","Login test successfull","SUCCESS","2020-05-22T12:10:13.8660683+03:00[Europe/Athens]","0.0","1.58"
"Test scenariu","Test btn add new snippet link","SUCCESS","2020-05-22T12:10:18.6259486+03:00[Europe/Athens]","0.0","7.55"
"Test scenariu","Test login","SUCCESS","2020-05-22T12:10:26.3753811+03:00[Europe/Athens]","0.0","5.28"
"Test scenariu","Test btn view my snippet link","SUCCESS","2020-05-22T12:10:31.7997822+03:00[Europe/Athens]","0.0","2.05"
"Test scenariu","Test delete snippet","SUCCESS","2020-05-22T12:10:33.9982695+03:00[Europe/Athens]","0.0","2.94"
"Test scenariu","Test scenario","ERROR","2020-05-22T12:10:37.0928234+03:00[Europe/Athens]","0.0","16.66"
"Test scenariu","Test add new snippet form","SUCCESS","2020-05-22T12:10:53.9100085+03:00[Europe/Athens]","0.0","5.78"
"Test scenariu","Test btn logout","SUCCESS","2020-05-22T12:10:59.8350415+03:00[Europe/Athens]","0.0","1.68"
"Test scenariu","Test upload","ERROR","2020-05-22T12:11:01.6757393+03:00[Europe/Athens]","0.0","1.68"
